172,Mycaplasma hominis IgG,83000;
173,Mycaplasma hominis IgM,83000;
174,Ureaplasma urealyticum IgG,83000;
175,Ureaplasma urealeticum IgM,83000;
176,АНАЛИЗ ВЫДЕЛЕНИЙ Мазок,83000;
177,Женский мазок лептотрихоз,83000;
178,Спермограмма,95000;
179,Общий анализ мочи,55000;
180,Моча по Нечипоренка,55000;
181,Моча по Зимницкому,55000;
182,Моча на желечные пигменты,55000;
183,Моча на БК,90000;
184,Цитология мочи,150000;
185,АКТГ,190000;
186,Антимюллер гормон,320000;
187,Концитанин,240000;
188,Витаминт Д,240000;
189,Адреналин,240000;
190,Ноадреналин,240000;
191,Anty ТПО,240000;
192,Спес гормон,190000;
193,Проба Шуварского,95000;
194,Проба Симса – Гунера,95000;
195,Проба на антиспермальные антитела,95000;
196,Микроальбумин,59000;
197,Ацетон,59000;
198,ХГ в Моче,59000;
199,Наркотические соединения в моче,59000;
200,Копрология,83000;
201,Кал на яйца глист,83000;
202,Кал на скрытое кровотичение,170000;
203,Кал на Helicobacter  pylori,83000;
204,Копрология (развернытий),210000;
205,Адренолин,240000;
206,Нор адренолин,240000;
207,Концинтанин,240000;
208,Глюкоза,47000;
209,HBSAg,83000;
210,HCV,83000;
211,Вич 1/2,100000;
212,Treponema  Pallidium(RW),83000;
213,Ревматоидный Фактор  ТИТР,190000;
214,С-реактивный белок  ТИТР,190000;
215,АСЛО  ТИТР,190000;
216,Бакпасев Коньюктивы,175000;
217,Бакпасев Носа,175000;
218,Бакпасев Зева,175000;
219,Бакпасев Мокроты,175000;
220,Бакпасев Вагины (уретры),175000;
221,Бакпасев Влагалища  (urethara & vagin & cervikal),175000;
222,Бакпасев Крови,175000;
223,Бакпасев Мочи,175000;
224,Бакпасев Кала,175000;
225,Бакпасев Кала дезбактериоз,175000;
226,Бакпасев Уха,175000;
227,Бакпасев С участка  поражения,175000;
228,Бакпасев Грудное  молоко  на  стерильность,175000;
229,Бакпасев Спермы,175000;
230,Бакпасев Сока простаты,175000;
231,Бакпасев Жидкость из плевральной  полости,175000;
232,Salmonella AH & AO & BH & TH & TO & Brucella Abortus,900000;
233,ПЦР- Мазок из носа и ротовой полости,250000;
234,ИХЛА – анализ igG и igM на антитела против коронавируса,300000;
235,Гликолизированный гемоглобин ВСК,43000;
236,Гликолизированный гемоглобин Вит Д,190000;
